"prompt","task"
"Registrer ei reiserekning for Svein Berge (svein.berge@example.org) for ""Kundebesøk Trondheim"". Reisa varte 5 dagar med diett (dagssats 800 kr). Utlegg: flybillett 2850 kr og taxi 200 kr.","Task 13: Registrer reiseregning med utlegg"
"Precisamos da despesa de Overnatting deste recibo registada no departamento Utvikling. Use a conta de despesas correta e garanta o tratamento correto do IVA.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Reconcile the bank statement (attached CSV) against open invoices in Tripletex. Match incoming payments to customer invoices and outgoing payments to supplier invoices. Handle partial payments correctly.","Task 23: Bankavstemming fra CSV"
"El cliente Costa Brava SL (org. nº 833355937) tiene una factura pendiente de 45700 NOK sin IVA por ""Asesoría de datos"". Registre el pago completo de esta factura.","Task 7: Registrer utgående betaling"
"Descobrimos erros no livro razão de janeiro e fevereiro de 2026. Revise todos os vouchers e encontre os 4 erros: um lançamento na conta errada (conta 7140 usada em vez de 7100, valor 7500 NOK), um voucher duplicado (conta 6540, valor 1000 NOK), uma linha de IVA em falta (conta 4500, valor sem IVA 21500 NOK falta IVA na conta 2710), e um valor incorreto (conta 6860, 17250 NOK registado em vez de 6000 NOK). Corrija todos os erros com lançamentos corretivos.","Task 24: Feilsøking i hovedbok"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (3500 NOK pro Monat von Konto 1710 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 79150 NOK und Nutzungsdauer 6 Jahre (lineare Abschreibung auf Konto 6020). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Tenemos un nuevo empleado llamado Lucía Rodríguez, nacido el 30. April 1996. Créelo como empleado con el correo lucia.rodriguez@example.org y fecha de inicio 22. April 2026.","Task 1: Opprett ansatt"
"Log 34 hours for Charlotte Williams (charlotte.williams@example.org) on the activity ""Analyse"" in the project ""Security Audit"" for Windmill Ltd (org no. 851492623). Hourly rate: 1300 NOK/h. Generate a project invoice to the customer based on the logged hours.","Task 16: Timeføring og fakturering"
"Nous avons envoyé une facture de 6224 EUR à Rivière SARL (nº org. 886727127) lorsque le taux de change était de 10.90 NOK/EUR. Le client a maintenant payé, mais le taux est de 10.33 NOK/EUR. Enregistrez le paiement et comptabilisez l'écart de change (disagio) sur le bon compte.","Task 27: Valutafaktura med agio/disagio"
"Vous avez recu une facture fournisseur (voir PDF ci-joint). Enregistrez la facture dans Tripletex. Creez le fournisseur s'il n'existe pas. Utilisez le bon compte de charges et la TVA deductible.","Task 20: Leverandørfaktura fra PDF"
"Du har motteke ein leverandorfaktura (sjaa vedlagt PDF). Registrer fakturaen i Tripletex. Opprett leverandoren viss den ikkje finst. Bruk rett utgiftskonto og inngaaande MVA.","Task 20: Leverandørfaktura fra PDF"
"Voce recebeu um contrato de trabalho (ver PDF anexo). Crie o funcionario no Tripletex com todos os detalhes do contrato: numero de identidade nacional, data de nascimento, departamento, codigo de ocupacao, salario, percentagem de emprego e data de inicio.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Erfassen Sie 18 Stunden für Mia Meyer (mia.meyer@example.org) auf der Aktivität ""Testing"" im Projekt ""Sicherheitsaudit"" für Nordlicht GmbH (Org.-Nr. 934651995). Stundensatz: 1400 NOK/h. Erstellen Sie eine Projektrechnung an den Kunden basierend auf den erfassten Stunden.","Task 16: Timeføring og fakturering"
"Kunden Nordlys AS (org.nr 902392165) har reklamert på fakturaen for ""Programvarelisens"" (47350 kr ekskl. MVA). Opprett ei fullstendig kreditnota som reverserer heile fakturaen.","Task 14: Krediter faktura (kreditnota)"
"Reconcile the bank statement (attached CSV) against open invoices in Tripletex. Match incoming payments to customer invoices and outgoing payments to supplier invoices. Handle partial payments correctly.","Task 23: Bankavstemming fra CSV"
"Opprett produktet ""Datarådgjeving"" med produktnummer 4993. Prisen er 16250 kr eksklusiv MVA, og standard MVA-sats på 25 % skal nyttast.","Task 3: Opprett produkt med MVA"
"Gjennomfør heile prosjektsyklusen for 'Dataplattform Skogheim' (Skogheim AS, org.nr 841795067): 1) Prosjektet har budsjett 258650 kr. 2) Registrer timar: Torbjørn Brekke (prosjektleiar, torbjrn.brekke@example.org) 64 timar og Arne Kvamme (konsulent, arne.kvamme@example.org) 87 timar. 3) Registrer leverandørkostnad 77950 kr frå Nordlys AS (org.nr 894689668). 4) Opprett kundefaktura for prosjektet.","Task 29: Komplett prosjektsyklus med avvik"
"Create the product ""Training Session"" with product number 7908. The price is 26250 NOK excluding VAT, using the standard 25% VAT rate.","Task 3: Opprett produkt med MVA"
"Crea un pedido para el cliente Río Verde SL (org. nº 951612936) con los productos Informe de análisis (4430) a 20900 NOK y Sesión de formación (7773) a 18350 NOK. Convierte el pedido en factura y registra el pago completo.","Task 10: Ordre til faktura til betaling"
"Execute the complete project lifecycle for 'Data Platform Ridgepoint' (Ridgepoint Ltd, org no. 808812096): 1) The project has a budget of 316550 NOK. 2) Log time: Daniel Harris (project manager, daniel.harris@example.org) 54 hours and Grace Johnson (consultant, grace.johnson@example.org) 78 hours. 3) Register supplier cost of 58200 NOK from Ironbridge Ltd (org no. 814796019). 4) Create a customer invoice for the project.","Task 29: Komplett prosjektsyklus med avvik"
"Registrieren Sie den Lieferanten Waldstein GmbH mit der Organisationsnummer 891505019. E-Mail: faktura@waldsteingmbh.no.","Task 4: Opprett leverandør"
"Betalingen fra Polaris AS (org.nr 896496468) for fakturaen ""Skylagring"" (17200 kr ekskl. MVA) ble returnert av banken. Reverser betalingen slik at fakturaen igjen viser utestående beløp.","Task 18: Reverser betaling (bankretur)"
"Opprett prosjektet ""Integrasjon Vestfjord"" knytt til kunden Vestfjord AS (org.nr 954285405). Prosjektleiar er Håkon Eide (hakon.eide@example.org).","Task 8: Opprett prosjekt knyttet til kunde"
"Erstellen Sie eine benutzerdefinierte Buchhaltungsdimension ""Kostsenter"" mit den Werten ""Kundeservice"" und ""Markedsføring"". Buchen Sie dann einen Beleg auf Konto 7100 über 42400 NOK, verknüpft mit dem Dimensionswert ""Markedsføring"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"Voce recebeu uma carta de oferta (ver PDF anexo) para um novo funcionario. Complete a integracao: crie o funcionario, atribua o departamento correto, configure os detalhes de emprego com percentagem e salario anual, e configure as horas de trabalho padrao.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Uno de sus clientes tiene una factura vencida. Encuentre la factura vencida y registre un cargo por recordatorio de 65 NOK. Debito cuentas por cobrar (1500), credito ingresos por recordatorio (3400). También cree una factura por la tarifa de recordatorio al cliente y envíela. Además, registre un pago parcial de 5000 NOK en la factura vencida.","Task 7: Registrer utgående betaling"
"Recebemos a fatura INV-2026-4855 do fornecedor Solmar Lda (org. nº 972752843) no valor de 62600 NOK com IVA incluído. O montante refere-se a serviços de escritório (conta 6860). Registe a fatura do fornecedor com o IVA dedutível correto (25 %).","Task 11: Registrer leverandørfaktura"
"Register the supplier Silveroak Ltd with organization number 889586605. Email: faktura@silveroakltd.no.","Task 4: Opprett leverandør"
"Exécutez la paie de Sarah Moreau (sarah.moreau@example.org) pour ce mois. Le salaire de base est de 56900 NOK. Ajoutez une prime unique de 15800 NOK en plus du salaire de base.","Task 12: Lønnskjøring med tillegg"
"Ejecute la nómina de Fernando Sánchez (fernando.sanchez@example.org) para este mes. El salario base es de 42350 NOK. Añada una bonificación única de 12850 NOK además del salario base.","Task 12: Lønnskjøring med tillegg"
"Vi har en ny ansatt som heter Lars Berg, født 10. April 1995. Opprett vedkommende som ansatt med e-post lars.berg@example.org og startdato 16. November 2026.","Task 1: Opprett ansatt"
"Uno de sus clientes tiene una factura vencida. Encuentre la factura vencida y registre un cargo por recordatorio de 55 NOK. Debito cuentas por cobrar (1500), credito ingresos por recordatorio (3400). También cree una factura por la tarifa de recordatorio al cliente y envíela. Además, registre un pago parcial de 5000 NOK en la factura vencida.","Task 7: Registrer utgående betaling"
"Du har mottatt en leverandorfaktura (se vedlagt PDF). Registrer fakturaen i Tripletex. Opprett leverandoren hvis den ikke finnes. Bruk riktig utgiftskonto og inngaende MVA.","Task 20: Leverandørfaktura fra PDF"
"Um dos seus clientes tem uma fatura vencida. Encontre a fatura vencida e registe uma taxa de lembrete de 40 NOK. Debito contas a receber (1500), credito receitas de lembrete (3400). Também crie uma fatura para a taxa de lembrete ao cliente e envie-a. Além disso, registe um pagamento parcial de 5000 NOK na fatura vencida.","Task 7: Registrer utgående betaling"
"Exécutez le cycle de vie complet du projet 'Portail Numérique Étoile' (Étoile SARL, nº org. 834437961) : 1) Le projet a un budget de 383650 NOK. 2) Enregistrez le temps : Jade Martin (chef de projet, jade.martin@example.org) 53 heures et Louis Robert (consultant, louis.robert@example.org) 56 heures. 3) Enregistrez un coût fournisseur de 90100 NOK de Montagne SARL (nº org. 891743882). 4) Créez une facture client pour le projet.","Task 29: Komplett prosjektsyklus med avvik"
"Me har ein ny tilsett som heiter Gunnhild Eide, fødd 21. June 1997. Opprett vedkomande som tilsett med e-post gunnhild.eide@example.org og startdato 28. June 2026.","Task 1: Opprett ansatt"
"Register a travel expense for Charlotte Williams (charlotte.williams@example.org) for ""Client visit Bodø"". The trip lasted 3 days with per diem (daily rate 800 NOK). Expenses: flight ticket 6200 NOK and taxi 400 NOK.","Task 13: Registrer reiseregning med utlegg"
"Erstellen Sie eine benutzerdefinierte Buchhaltungsdimension ""Prosjekttype"" mit den Werten ""Internt"" und ""Utvikling"". Buchen Sie dann einen Beleg auf Konto 6340 über 44500 NOK, verknüpft mit dem Dimensionswert ""Internt"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"Opprett ein fri rekneskapsdimensjon ""Marked"" med verdiane ""Offentlig"" og ""Privat"". Bokfør deretter eit bilag på konto 7300 for 49300 kr, knytt til dimensjonsverdien ""Offentlig"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"Enviámos uma fatura de 10765 EUR ao Estrela Lda (org. nº 950948086) quando a taxa de câmbio era 11.30 NOK/EUR. O cliente pagou agora, mas a taxa é 10.78 NOK/EUR. Registe o pagamento e lance a diferença cambial (disagio) na conta correta.","Task 27: Valutafaktura med agio/disagio"
"Erstellen Sie das Projekt ""Integration Bergwerk"" verknüpft mit dem Kunden Bergwerk GmbH (Org.-Nr. 986555080). Projektleiter ist Leon Meyer (leon.meyer@example.org).","Task 8: Opprett prosjekt knyttet til kunde"
"Register a travel expense for William Wilson (william.wilson@example.org) for ""Client visit Trondheim"". The trip lasted 2 days with per diem (daily rate 800 NOK). Expenses: flight ticket 7600 NOK and taxi 700 NOK.","Task 13: Registrer reiseregning med utlegg"
"El pago de Solmar SL (org. nº 836598741) por la factura ""Licencia de software"" (8000 NOK sin IVA) fue devuelto por el banco. Revierta el pago para que la factura vuelva a mostrar el importe pendiente.","Task 18: Reverser betaling (bankretur)"
"Opprett en ordre for kunden Stormberg AS (org.nr 870531559) med produktene Vedlikehold (4665) til 35200 kr og Systemutvikling (7431) til 4400 kr. Konverter ordren til faktura og registrer full betaling.","Task 10: Ordre til faktura til betaling"
"Opprett ein fri rekneskapsdimensjon ""Produktlinje"" med verdiane ""Basis"" og ""Avansert"". Bokfør deretter eit bilag på konto 6340 for 15000 kr, knytt til dimensjonsverdien ""Avansert"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"Crea tres departamentos en Tripletex: ""IT"", ""Drift"" y ""Kundeservice"".","Task 5: Opprett avdelinger"
